Cluster,tract,LON,LAT,estabs,scaled_emp,nice_emp_bin
Local Entertainment and Media,8123002102,-104.87282425805908,40.383083998914145,5,0.012183020948180816,50 to 100
Local Entertainment and Media,8123001907,-104.76280232224276,40.04300958168156,3,0.011091510474090408,20 to 50
Local Entertainment and Media,8014031400,-105.00448455138537,39.99985211349478,3,0.01,20 to 50
Local Financial Services,8123001700,-104.74713908074241,40.33599420905042,17,0.04383682469680265,250 to 500
Local Financial Services,8123002101,-104.89306190852722,40.338323125376895,13,0.04383682469680265,250 to 500
Local Financial Services,8123001907,-104.75137727329984,39.98257164347219,10,0.04056229327453142,250 to 500
Local Financial Services,8123001500,-104.71969642245112,40.47875015017679,21,0.03510474090407938,250 to 500
Local Financial Services,8123000705,-104.65057676522807,40.406455621035924,14,0.02964718853362734,100 to 250
Local Financial Services,8123002208,-104.84665904412151,40.51112690961357,6,0.024189636163175304,100 to 250
Local Financial Services,8123002206,-104.9499671804577,40.51410692237939,7,0.024189636163175304,100 to 250
Local Financial Services,8123000401,-104.71192264260196,40.402623371318825,7,0.024189636163175304,100 to 250
Local Financial Services,8123002103,-104.9869252090336,40.229557360758136,9,0.020915104740904078,100 to 250
Local Financial Services,8123001416,-104.7761127850258,40.43916804337972,7,0.018732083792723266,100 to 250
Local Financial Services,8123002300,-104.7462907690518,40.57738904392774,7,0.017640573318632856,100 to 250
Local Financial Services,8123001004,-104.68153619220337,40.37522137049724,4,0.016549062844542446,50 to 100
Local Financial Services,8123001404,-104.75358845666713,40.373961364321076,6,0.016549062844542446,50 to 100
Local Financial Services,8123001800,-104.78108829990555,40.192145204058825,7,0.016549062844542446,50 to 100
Local Financial Services,8123002010,-105.00796388545689,40.14095916771298,8,0.016549062844542446,50 to 100
Local Financial Services,8123002013,-104.93521006625765,40.12624494155273,4,0.01545755237045204,50 to 100
Local Financial Services,8123002501,-104.40301772149816,40.79411801048,6,0.014366041896361632,50 to 100
Local Financial Services,8123001005,-104.71926072613793,40.37536194485356,6,0.013274531422271224,50 to 100
Local Financial Services,8123002009,-105.01090641409561,40.063092693422355,6,0.013274531422271224,50 to 100
Local Financial Services,8123002015,-104.91781917876385,40.07680443250523,5,0.013274531422271224,50 to 100
Local Financial Services,8014031400,-105.0070754163593,39.987069062311136,6,0.013274531422271224,50 to 100
Local Financial Services,8123001406,-104.77153823853611,40.38766415418965,6,0.013274531422271224,50 to 100
Local Financial Services,8123002017,-104.99063315240583,40.11175938072507,5,0.013274531422271224,50 to 100
Local Financial Services,8123002209,-104.86041252526317,40.450320577117694,6,0.013274531422271224,50 to 100
Local Financial Services,8123001600,-104.55582046697654,40.35913263507066,4,0.012183020948180816,50 to 100
